"state","Expected","Observed","Ratio","Excess","Excess_pop"
"Alabama","137 (79-195)","183","1.34","46 (-12 - 104)","0.9 (-0.2 - 2.1)"
"Alaska","92 (71-113)","92","1","0 (-21 - 21)","0 (-2.9 - 2.9)"
"Arizona","667 (555-779)","686","1.03","19 (-93 - 131)","0.3 (-1.3 - 1.8)"
"Arkansas","54 (4-104)","91","1.69","37 (-13 - 87)","1.2 (-0.4 - 2.9)"
"California","1473 (1275-1671)","1773","1.2","300 (102 - 498)","0.8 (0.3 - 1.3)"
"Colorado","417 (333-502)","405","0.97","-12 (-97 - 72)","-0.2 (-1.7 - 1.2)"
"Connecticut","430 (343-517)","500","1.16","70 (-17 - 157)","1.9 (-0.5 - 4.4)"
"Delaware","97 (71-123)","73","0.75","-24 (-50 - 2)","-2.4 (-5.1 - 0.2)"
"District of Columbia","130 (67-193)","115","0.88","-15 (-78 - 48)","-2.2 (-11.3 - 7)"
"Florida","1039 (857-1221)","1382","1.33","343 (161 - 525)","1.6 (0.7 - 2.4)"
"Georgia","232 (184-280)","339","1.46","107 (59 - 155)","1 (0.5 - 1.4)"
"Hawaii","42 (6-78)","43","1.02","1 (-35 - 37)","0.1 (-2.4 - 2.5)"
"Idaho","90 (71-109)","79","0.88","-11 (-30 - 8)","-0.6 (-1.6 - 0.4)"
"Illinois","845 (766-923)","906","1.07","61 (-17 - 140)","0.5 (-0.1 - 1.1)"
"Indiana","400 (310-489)","413","1.03","13 (-76 - 103)","0.2 (-1.1 - 1.5)"
"Iowa","127 (112-143)","147","1.16","20 (4 - 35)","0.6 (0.1 - 1.1)"
"Kansas","129 (81-177)","161","1.25","32 (-16 - 80)","1.1 (-0.5 - 2.7)"
"Kentucky","229 (168-291)","275","1.2","46 (-16 - 107)","1 (-0.4 - 2.4)"
"Louisiana","221 (180-262)","210","0.95","-11 (-52 - 30)","-0.2 (-1.1 - 0.6)"
"Maine","167 (128-206)","181","1.08","14 (-25 - 53)","1 (-1.8 - 3.9)"
"Maryland","505 (287-722)","600","1.19","95 (-122 - 313)","1.5 (-2 - 5.1)"
"Massachusetts","601 (444-758)","646","1.07","45 (-112 - 202)","0.6 (-1.6 - 2.9)"
"Michigan","503 (438-568)","549","1.09","46 (-19 - 111)","0.5 (-0.2 - 1.1)"
"Minnesota","368 (289-447)","386","1.05","18 (-61 - 97)","0.3 (-1.1 - 1.7)"
"Mississippi","84 (68-100)","102","1.21","18 (2 - 34)","0.6 (0.1 - 1.2)"
"Missouri","516 (459-572)","555","1.08","39 (-17 - 96)","0.6 (-0.3 - 1.6)"
"Montana","32 (21-43)","49","1.53","17 (6 - 28)","1.6 (0.6 - 2.6)"
"Nebraska","47 (27-67)","72","1.54","25 (5 - 45)","1.3 (0.3 - 2.3)"
"Nevada","133 (108-159)","162","1.22","29 (3 - 54)","0.9 (0.1 - 1.8)"
"New Hampshire","83 (53-113)","70","0.84","-13 (-43 - 17)","-1 (-3.2 - 1.2)"
"New Jersey","677 (527-827)","704","1.04","27 (-123 - 177)","0.3 (-1.3 - 1.9)"
"New Mexico","306 (243-369)","327","1.07","21 (-42 - 84)","1 (-2 - 4)"
"New York","891 (683-1099)","1261","1.42","370 (162 - 578)","1.8 (0.8 - 2.9)"
"North Carolina","460 (356-563)","629","1.37","169 (66 - 273)","1.6 (0.6 - 2.6)"
"North Dakota","64 (36-92)","46","0.72","-18 (-46 - 10)","-2.3 (-5.9 - 1.2)"
"Ohio","970 (709-1230)","1035","1.07","65 (-195 - 326)","0.6 (-1.7 - 2.8)"
"Oklahoma","78 (4-152)","103","1.32","25 (-49 - 99)","0.6 (-1.2 - 2.5)"
"Oregon","182 (133-231)","189","1.04","7 (-42 - 56)","0.2 (-1 - 1.3)"
"Pennsylvania","711 (626-795)","799","1.12","88 (4 - 173)","0.7 (0 - 1.3)"
"Rhode Island","132 (116-148)","129","0.98","-3 (-19 - 13)","-0.3 (-1.7 - 1.2)"
"South Carolina","207 (178-236)","327","1.58","120 (91 - 149)","2.3 (1.8 - 2.9)"
"South Dakota","46 (36-56)","60","1.3","14 (4 - 24)","1.6 (0.4 - 2.7)"
"Tennessee","403 (341-465)","561","1.39","158 (96 - 220)","2.3 (1.4 - 3.2)"
"Texas","738 (635-841)","922","1.25","184 (81 - 287)","0.6 (0.3 - 1)"
"Utah","102 (70-135)","114","1.11","12 (-21 - 44)","0.4 (-0.6 - 1.4)"
"Vermont","30 (20-40)","24","0.81","-6 (-16 - 4)","-0.9 (-2.4 - 0.7)"
"Virginia","312 (258-366)","453","1.45","141 (87 - 195)","1.6 (1 - 2.3)"
"Washington","319 (261-378)","369","1.16","50 (-9 - 108)","0.6 (-0.1 - 1.4)"
"West Virginia","195 (127-263)","264","1.35","69 (1 - 137)","3.8 (0 - 7.7)"
"Wisconsin","359 (294-424)","468","1.3","109 (44 - 174)","1.8 (0.7 - 2.9)"
"Wyoming","53 (31-75)","47","0.89","-6 (-28 - 16)","-1 (-4.9 - 2.8)"
