"state","Expected","Observed","Ratio","Excess","Excess_pop"
"Alabama","118 (56-180)","155","1.31","37 (-25 - 99)","0.7 (-0.5 - 2)"
"Alaska","15 (7-23)","25","1.67","10 (2 - 18)","1.4 (0.2 - 2.5)"
"Arizona","185 (148-222)","210","1.14","25 (-12 - 62)","0.3 (-0.2 - 0.9)"
"Arkansas","32 (18-47)","39","1.2","7 (-8 - 21)","0.2 (-0.3 - 0.7)"
"California","1227 (1089-1365)","1284","1.05","57 (-81 - 195)","0.1 (-0.2 - 0.5)"
"Colorado","190 (141-239)","244","1.29","54 (5 - 103)","0.9 (0.1 - 1.8)"
"Connecticut","417 (340-494)","424","1.02","7 (-70 - 84)","0.2 (-1.9 - 2.3)"
"Delaware","198 (162-234)","150","0.76","-48 (-84 - -12)","-4.8 (-8.5 - -1.2)"
"District of Columbia","154 (87-221)","144","0.94","-10 (-77 - 57)","-1.5 (-11.1 - 8.2)"
"Florida","1681 (1225-2137)","1978","1.18","297 (-159 - 753)","1.4 (-0.7 - 3.5)"
"Georgia","335 (296-374)","359","1.07","24 (-15 - 63)","0.2 (-0.1 - 0.6)"
"Hawaii","11 (10-11)","18","1.65","7 (7 - 8)","0.5 (0.4 - 0.5)"
"Illinois","1021 (803-1239)","1168","1.14","147 (-71 - 365)","1.1 (-0.6 - 2.9)"
"Indiana","321 (200-442)","335","1.04","14 (-107 - 135)","0.2 (-1.6 - 2)"
"Iowa","32 (19-45)","33","1.03","1 (-12 - 14)","0 (-0.4 - 0.5)"
"Kansas","41 (23-59)","48","1.16","7 (-11 - 25)","0.2 (-0.4 - 0.8)"
"Kentucky","118 (36-200)","193","1.64","75 (-7 - 157)","1.7 (-0.1 - 3.5)"
"Louisiana","132 (65-199)","251","1.9","119 (52 - 186)","2.6 (1.1 - 4)"
"Maine","118 (58-178)","125","1.06","7 (-53 - 67)","0.5 (-3.9 - 4.9)"
"Maryland","731 (557-905)","773","1.06","42 (-132 - 216)","0.7 (-2.1 - 3.5)"
"Massachusetts","866 (752-980)","939","1.08","73 (-41 - 187)","1 (-0.6 - 2.7)"
"Michigan","610 (423-797)","696","1.14","86 (-101 - 273)","0.9 (-1 - 2.7)"
"Minnesota","64 (44-84)","92","1.44","28 (8 - 48)","0.5 (0.1 - 0.8)"
"Mississippi","57 (46-68)","70","1.23","13 (2 - 24)","0.4 (0.1 - 0.8)"
"Missouri","197 (159-235)","243","1.23","46 (8 - 84)","0.7 (0.1 - 1.4)"
"Nevada","69 (52-87)","92","1.33","23 (5 - 40)","0.7 (0.2 - 1.3)"
"New Hampshire","89 (61-117)","57","0.64","-32 (-60 - -4)","-2.3 (-4.3 - -0.3)"
"New Jersey","905 (621-1189)","889","0.98","-16 (-300 - 268)","-0.2 (-3.2 - 2.9)"
"New Mexico","90 (57-123)","126","1.4","36 (3 - 69)","1.7 (0.1 - 3.3)"
"New York","1423 (1106-1740)","1837","1.29","414 (97 - 731)","2 (0.5 - 3.6)"
"North Carolina","889 (688-1090)","1034","1.16","145 (-56 - 346)","1.4 (-0.5 - 3.3)"
"Ohio","1410 (834-1986)","1311","0.93","-99 (-675 - 477)","-0.8 (-5.7 - 4)"
"Oklahoma","42 (21-63)","64","1.52","22 (1 - 43)","0.6 (0 - 1.1)"
"Oregon","91 (67-115)","65","0.71","-26 (-50 - -2)","-0.6 (-1.2 - -0.1)"
"Pennsylvania","1362 (1170-1554)","1338","0.98","-24 (-216 - 168)","-0.2 (-1.7 - 1.3)"
"Rhode Island","150 (133-168)","194","1.29","44 (26 - 61)","4 (2.4 - 5.6)"
"South Carolina","201 (113-289)","367","1.83","166 (78 - 254)","3.2 (1.5 - 5)"
"Tennessee","382 (268-496)","463","1.21","81 (-33 - 195)","1.2 (-0.5 - 2.8)"
"Texas","905 (778-1032)","1177","1.3","272 (145 - 399)","0.9 (0.5 - 1.4)"
"Utah","45 (25-64)","52","1.17","7 (-12 - 27)","0.2 (-0.4 - 0.8)"
"Vermont","58 (44-72)","73","1.26","15 (1 - 29)","2.3 (0.2 - 4.5)"
"Virginia","413 (318-508)","570","1.38","157 (62 - 252)","1.8 (0.7 - 2.9)"
"Washington","144 (103-185)","197","1.37","53 (12 - 94)","0.7 (0.2 - 1.2)"
"West Virginia","136 (42-230)","133","0.98","-3 (-97 - 91)","-0.2 (-5.4 - 5.1)"
"Wisconsin","323 (227-419)","420","1.3","97 (1 - 193)","1.6 (0 - 3.3)"
