"state","Expected","Observed","Ratio","Excess","Excess_pop"
"Alabama","157 (90-223)","138","0.88","-19 (-85 - 48)","-0.4 (-1.7 - 0.9)"
"Alaska","62 (34-90)","36","0.58","-26 (-54 - 2)","-3.5 (-7.3 - 0.2)"
"Arizona","194 (105-283)","225","1.16","31 (-58 - 120)","0.4 (-0.8 - 1.7)"
"Arkansas","36 (15-57)","21","0.59","-15 (-36 - 6)","-0.5 (-1.2 - 0.2)"
"California","1172 (998-1346)","1032","0.88","-140 (-314 - 34)","-0.4 (-0.8 - 0.1)"
"Colorado","230 (170-291)","225","0.98","-5 (-66 - 55)","-0.1 (-1.1 - 1)"
"Connecticut","342 (206-478)","211","0.62","-131 (-267 - 5)","-3.6 (-7.4 - 0.1)"
"Delaware","75 (0-150)","91","1.21","16 (-59 - 91)","1.6 (-5.9 - 9.1)"
"District of Columbia","96 (25-167)","88","0.92","-8 (-79 - 63)","-1.2 (-11.4 - 9.1)"
"Florida","716 (587-845)","645","0.9","-71 (-200 - 58)","-0.3 (-0.9 - 0.3)"
"Georgia","309 (240-378)","397","1.28","88 (19 - 157)","0.8 (0.2 - 1.5)"
"Hawaii","18 (-1-36)","22","1.24","4 (-14 - 23)","0.3 (-1 - 1.6)"
"Idaho","37 (13-61)","38","1.03","1 (-23 - 25)","0.1 (-1.3 - 1.4)"
"Illinois","922 (626-1218)","1071","1.16","149 (-147 - 445)","1.2 (-1.2 - 3.5)"
"Indiana","308 (241-375)","218","0.71","-90 (-157 - -23)","-1.3 (-2.3 - -0.3)"
"Iowa","24 (-1-50)","55","2.26","31 (5 - 56)","1 (0.2 - 1.8)"
"Kansas","55 (33-77)","38","0.69","-17 (-39 - 5)","-0.6 (-1.3 - 0.2)"
"Kentucky","166 (10-322)","121","0.73","-45 (-201 - 111)","-1 (-4.5 - 2.5)"
"Louisiana","247 (191-303)","268","1.08","21 (-35 - 77)","0.4 (-0.8 - 1.6)"
"Maine","45 (12-78)","52","1.16","7 (-26 - 40)","0.5 (-1.9 - 3)"
"Maryland","62 (-225-349)","128","2.06","66 (-221 - 353)","1.1 (-3.6 - 5.7)"
"Massachusetts","277 (37-517)","225","0.81","-52 (-292 - 188)","-0.7 (-4.1 - 2.7)"
"Michigan","318 (122-514)","457","1.44","139 (-57 - 335)","1.4 (-0.6 - 3.3)"
"Minnesota","111 (51-172)","125","1.12","14 (-47 - 74)","0.2 (-0.8 - 1.3)"
"Mississippi","122 (75-168)","71","0.58","-51 (-97 - -4)","-1.7 (-3.3 - -0.1)"
"Missouri","273 (149-398)","148","0.54","-125 (-250 - -1)","-2 (-4.1 - 0)"
"Nevada","148 (128-168)","137","0.93","-11 (-31 - 9)","-0.4 (-1 - 0.3)"
"New Hampshire","-20 (-161-121)",NA,NA,"NA (NA - NA)","NA (NA - NA)"
"New Jersey","733 (314-1152)","698","0.95","-35 (-454 - 384)","-0.4 (-4.9 - 4.1)"
"New Mexico","245 (161-329)","197","0.8","-48 (-132 - 36)","-2.3 (-6.2 - 1.7)"
"New York","1062 (869-1255)","1287","1.21","225 (32 - 418)","1.1 (0.2 - 2.1)"
"North Carolina","560 (394-726)","536","0.96","-24 (-190 - 142)","-0.2 (-1.8 - 1.4)"
"Ohio","338 (-99-775)","319","0.94","-19 (-456 - 418)","-0.2 (-3.9 - 3.5)"
"Oklahoma","65 (34-96)","87","1.34","22 (-9 - 53)","0.6 (-0.2 - 1.3)"
"Oregon","144 (75-213)","203","1.41","59 (-10 - 128)","1.4 (-0.2 - 3)"
"Pennsylvania","788 (494-1082)","805","1.02","17 (-277 - 311)","0.1 (-2.1 - 2.4)"
"Rhode Island","12 (-28-52)",NA,NA,"NA (NA - NA)","NA (NA - NA)"
"South Carolina","213 (182-244)","258","1.21","45 (14 - 76)","0.9 (0.3 - 1.5)"
"Tennessee","403 (345-461)","334","0.83","-69 (-127 - -11)","-1 (-1.8 - -0.2)"
"Texas","812 (692-932)","799","0.98","-13 (-133 - 107)","0 (-0.5 - 0.4)"
"Utah","148 (101-196)","142","0.96","-6 (-54 - 41)","-0.2 (-1.6 - 1.3)"
"Vermont","63 (33-92)","41","0.65","-22 (-51 - 8)","-3.4 (-8 - 1.3)"
"Virginia","542 (431-653)","504","0.93","-38 (-149 - 73)","-0.4 (-1.7 - 0.9)"
"Washington","366 (283-449)","397","1.08","31 (-52 - 114)","0.4 (-0.7 - 1.5)"
"West Virginia","90 (18-162)","142","1.58","52 (-20 - 124)","2.9 (-1.1 - 6.9)"
"Wisconsin","250 (136-364)","269","1.08","19 (-95 - 133)","0.3 (-1.6 - 2.3)"
