"state","Expected","Observed","Ratio","Excess","Excess_pop"
"Alabama","147 (100-195)","126","0.86","-21 (-69 - 26)","-0.4 (-1.4 - 0.5)"
"Alaska","51 (38-64)","44","0.86","-7 (-20 - 6)","-1 (-2.8 - 0.9)"
"Arizona","321 (232-410)","342","1.07","21 (-68 - 110)","0.3 (-1 - 1.5)"
"Arkansas","92 (58-126)","99","1.08","7 (-27 - 41)","0.2 (-0.9 - 1.4)"
"California","922 (741-1103)","1044","1.13","122 (-59 - 303)","0.3 (-0.1 - 0.8)"
"Colorado","269 (198-340)","278","1.03","9 (-62 - 80)","0.2 (-1.1 - 1.4)"
"Connecticut","231 (140-321)","219","0.95","-12 (-102 - 79)","-0.3 (-2.8 - 2.2)"
"Delaware","54 (18-90)","53","0.98","-1 (-37 - 35)","-0.1 (-3.7 - 3.5)"
"District of Columbia","16 (-28-60)","37","2.31","21 (-23 - 65)","3 (-3.3 - 9.4)"
"Florida","1060 (835-1285)","1142","1.08","82 (-143 - 307)","0.4 (-0.7 - 1.4)"
"Georgia","359 (198-520)","463","1.29","104 (-57 - 265)","1 (-0.5 - 2.5)"
"Hawaii","22 (6-38)","28","1.28","6 (-10 - 22)","0.4 (-0.7 - 1.5)"
"Idaho","76 (66-85)","85","1.12","9 (0 - 19)","0.5 (0 - 1)"
"Illinois","471 (336-605)","536","1.14","65 (-69 - 200)","0.5 (-0.5 - 1.6)"
"Indiana","390 (242-538)","439","1.12","49 (-99 - 197)","0.7 (-1.5 - 2.9)"
"Iowa","61 (12-110)","59","0.97","-2 (-51 - 47)","-0.1 (-1.6 - 1.5)"
"Kansas","78 (53-102)","86","1.11","8 (-16 - 33)","0.3 (-0.6 - 1.1)"
"Kentucky","364 (212-516)","452","1.24","88 (-64 - 240)","2 (-1.4 - 5.3)"
"Louisiana","168 (124-212)","266","1.58","98 (54 - 142)","2.1 (1.2 - 3)"
"Maine","43 (-25-111)","74","1.72","31 (-37 - 99)","2.3 (-2.7 - 7.2)"
"Maryland","472 (211-733)","378","0.8","-94 (-355 - 167)","-1.5 (-5.8 - 2.7)"
"Massachusetts","210 (152-268)","272","1.3","62 (4 - 120)","0.9 (0.1 - 1.7)"
"Michigan","288 (95-481)","401","1.39","113 (-80 - 306)","1.1 (-0.8 - 3)"
"Minnesota","112 (67-156)","174","1.56","62 (18 - 107)","1.1 (0.3 - 1.9)"
"Mississippi","103 (74-132)","113","1.1","10 (-19 - 39)","0.3 (-0.6 - 1.3)"
"Missouri","231 (188-273)","225","0.97","-6 (-48 - 37)","-0.1 (-0.8 - 0.6)"
"Montana","27 (4-51)","36","1.31","9 (-15 - 32)","0.8 (-1.4 - 3)"
"Nebraska","38 (28-48)","34","0.89","-4 (-14 - 6)","-0.2 (-0.7 - 0.3)"
"Nevada","160 (80-240)","228","1.42","68 (-12 - 148)","2.2 (-0.4 - 4.8)"
"New Hampshire","35 (6-64)","30","0.85","-5 (-34 - 24)","-0.4 (-2.5 - 1.7)"
"New Jersey","324 (201-447)","349","1.08","25 (-98 - 148)","0.3 (-1.1 - 1.6)"
"New Mexico","145 (79-211)","169","1.17","24 (-42 - 90)","1.1 (-2 - 4.2)"
"New York","670 (432-908)","962","1.44","292 (54 - 530)","1.4 (0.3 - 2.6)"
"North Carolina","303 (162-444)","414","1.37","111 (-30 - 252)","1.1 (-0.3 - 2.4)"
"North Dakota","23 (14-33)","19","0.82","-4 (-14 - 5)","-0.5 (-1.8 - 0.7)"
"Ohio","366 (-16-748)","466","1.27","100 (-282 - 482)","0.8 (-2.4 - 4.1)"
"Oklahoma","75 (-19-169)","105","1.4","30 (-64 - 124)","0.8 (-1.6 - 3.1)"
"Oregon","86 (61-111)","114","1.33","28 (3 - 53)","0.7 (0.1 - 1.3)"
"Pennsylvania","536 (371-701)","633","1.18","97 (-68 - 262)","0.7 (-0.5 - 2)"
"Rhode Island","27 (-6-60)","42","1.56","15 (-18 - 48)","1.4 (-1.6 - 4.4)"
"South Carolina","367 (231-502)","406","1.11","39 (-96 - 175)","0.8 (-1.9 - 3.4)"
"South Dakota","19 (7-32)","15","0.77","-4 (-17 - 8)","-0.5 (-1.9 - 0.9)"
"Tennessee","476 (345-607)","571","1.2","95 (-36 - 226)","1.4 (-0.5 - 3.3)"
"Texas","460 (372-547)","566","1.23","106 (19 - 194)","0.4 (0.1 - 0.7)"
"Utah","251 (213-289)","228","0.91","-23 (-61 - 15)","-0.7 (-1.9 - 0.5)"
"Vermont","21 (7-34)","31","1.5","10 (-3 - 24)","1.6 (-0.4 - 3.7)"
"Virginia","251 (111-390)","295","1.18","44 (-95 - 184)","0.5 (-1.1 - 2.1)"
"Washington","207 (132-283)","245","1.18","38 (-38 - 113)","0.5 (-0.5 - 1.5)"
"West Virginia","146 (-9-301)","291","1.99","145 (-10 - 300)","8.1 (-0.6 - 16.7)"
"Wisconsin","244 (151-337)","286","1.17","42 (-51 - 135)","0.7 (-0.9 - 2.3)"
"Wyoming","30 (27-33)","35","1.16","5 (2 - 8)","0.9 (0.3 - 1.4)"
