"state","Expected","Observed","Ratio","Excess","Excess_pop"
"Alabama","1318 (802-1833)","1904","1.45","586 (71 - 1102)","11.7 (1.4 - 21.9)"
"Alaska","253 (112-394)","354","1.4","101 (-40 - 242)","13.8 (-5.5 - 33)"
"Arizona","3916 (3088-4744)","4523","1.16","607 (-221 - 1435)","8.5 (-3.1 - 20.1)"
"Arkansas","858 (504-1211)","962","1.12","104 (-249 - 458)","3.5 (-8.3 - 15.2)"
"California","13496 (12110-14883)","16161","1.2","2665 (1278 - 4051)","6.7 (3.2 - 10.2)"
"Colorado","2257 (1751-2763)","2849","1.26","592 (86 - 1098)","10.3 (1.5 - 19)"
"Connecticut","2239 (1585-2892)","2239","1","0 (-653 - 654)","0 (-18.1 - 18.1)"
"Delaware","797 (520-1074)","723","0.91","-74 (-351 - 203)","-7.5 (-35.4 - 20.5)"
"District of Columbia","735 (282-1187)","656","0.89","-79 (-531 - 374)","-11.4 (-77.1 - 54.2)"
"Florida","10363 (7359-13367)","11876","1.15","1513 (-1491 - 4517)","7 (-6.9 - 21)"
"Georgia","2451 (1745-3157)","3468","1.42","1017 (311 - 1723)","9.5 (2.9 - 16.1)"
"Hawaii","414 (245-582)","450","1.09","36 (-132 - 205)","2.5 (-9.1 - 14.1)"
"Idaho","462 (274-650)","510","1.1","48 (-140 - 236)","2.6 (-7.6 - 12.8)"
"Illinois","5738 (3726-7750)","5751","1","13 (-1999 - 2025)","0.1 (-15.6 - 15.8)"
"Indiana","3522 (2502-4542)","4132","1.17","610 (-410 - 1630)","9 (-6 - 24)"
"Iowa","823 (529-1117)","799","0.97","-24 (-318 - 270)","-0.7 (-10 - 8.5)"
"Kansas","768 (516-1020)","987","1.29","219 (-33 - 471)","7.5 (-1.1 - 16)"
"Kentucky","2605 (1665-3544)","3578","1.37","973 (34 - 1913)","21.6 (0.8 - 42.5)"
"Louisiana","2330 (1778-2883)","3623","1.55","1293 (740 - 1845)","27.8 (15.9 - 39.6)"
"Maine","793 (409-1177)","813","1.03","20 (-364 - 404)","1.5 (-26.7 - 29.7)"
"Maryland","3655 (2138-5173)","4396","1.2","741 (-777 - 2258)","12 (-12.6 - 36.6)"
"Massachusetts","3597 (2463-4731)","3759","1.05","162 (-972 - 1296)","2.3 (-13.8 - 18.4)"
"Michigan","3921 (2384-5459)","4548","1.16","627 (-911 - 2164)","6.2 (-9 - 21.5)"
"Minnesota","1340 (958-1723)","1944","1.45","604 (221 - 986)","10.6 (3.9 - 17.3)"
"Mississippi","584 (352-816)","1089","1.86","505 (273 - 737)","17.1 (9.2 - 24.9)"
"Missouri","3121 (2353-3890)","3453","1.11","332 (-437 - 1100)","5.4 (-7.1 - 17.9)"
"Montana","242 (114-371)","296","1.22","54 (-75 - 182)","4.9 (-6.9 - 16.8)"
"Nebraska","288 (167-410)","381","1.32","93 (-29 - 214)","4.7 (-1.5 - 10.9)"
"Nevada","1194 (855-1532)","1583","1.33","389 (51 - 728)","12.5 (1.6 - 23.4)"
"New Hampshire","588 (241-936)","626","1.06","38 (-310 - 385)","2.7 (-22.5 - 28)"
"New Jersey","5132 (3251-7012)","4530","0.88","-602 (-2482 - 1279)","-6.5 (-26.7 - 13.8)"
"New Mexico","1183 (789-1577)","1584","1.34","401 (7 - 795)","18.9 (0.3 - 37.5)"
"New York","7140 (5391-8889)","8271","1.16","1131 (-618 - 2880)","5.6 (-3.1 - 14.3)"
"North Carolina","4227 (3019-5436)","5411","1.28","1184 (-25 - 2392)","11.3 (-0.2 - 22.9)"
"North Dakota","192 (181-203)",NA,NA,"NA (NA - NA)","NA (NA - NA)"
"Ohio","7182 (3981-10384)","8649","1.2","1467 (-1735 - 4668)","12.4 (-14.7 - 39.6)"
"Oklahoma","1110 (522-1697)","1484","1.34","374 (-213 - 962)","9.5 (-5.4 - 24.3)"
"Oregon","1035 (762-1309)","1555","1.5","520 (246 - 793)","12.3 (5.8 - 18.7)"
"Pennsylvania","7532 (3283-11780)","8317","1.1","785 (-3463 - 5034)","6 (-26.6 - 38.7)"
"Rhode Island","496 (305-687)","646","1.3","150 (-41 - 341)","13.7 (-3.7 - 31)"
"South Carolina","2183 (1553-2812)","2991","1.37","808 (179 - 1438)","15.8 (3.5 - 28.1)"
"South Dakota","80 (-25-185)",NA,NA,"NA (NA - NA)","NA (NA - NA)"
"Tennessee","3713 (3217-4208)","5420","1.46","1707 (1212 - 2203)","24.7 (17.5 - 31.9)"
"Texas","6224 (5198-7250)","7788","1.25","1564 (538 - 2590)","5.4 (1.8 - 8.9)"
"Utah","843 (323-1363)","1063","1.26","220 (-300 - 740)","6.7 (-9.2 - 22.6)"
"Vermont","289 (125-454)","349","1.21","60 (-105 - 224)","9.3 (-16.3 - 34.9)"
"Virginia","2692 (1833-3550)","3738","1.39","1046 (188 - 1905)","12.1 (2.2 - 22.1)"
"Washington","2405 (1795-3015)","3215","1.34","810 (200 - 1420)","10.5 (2.6 - 18.4)"
"West Virginia","1669 (1047-2291)","2330","1.4","661 (39 - 1283)","36.9 (2.2 - 71.5)"
"Wisconsin","2295 (1580-3009)","2568","1.12","273 (-441 - 988)","4.6 (-7.5 - 16.8)"
"Wyoming","206 (-Inf-Inf)",NA,NA,"NA (NA - NA)","NA (NA - NA)"
